Date,AAPL,BAC,GS,JNJ,JPM,LLY,MSFT,NVDA,PFE
2020-01-02,72.620849609375,31.092313766479492,205.28297424316406,124.98368835449219,120.15470886230469,123.44925689697266,153.04226684570312,5.971746921539307,28.44766616821289
2020-01-03,71.914794921875,30.446739196777344,202.88250732421875,123.5366439819336,118.56908416748047,123.03840637207031,151.13668823242188,5.876163005828857,28.29503059387207
2020-01-06,72.48783874511719,30.403112411499023,204.95880126953125,123.38253784179688,118.47480010986328,123.49594116210938,151.5272979736328,5.9008049964904785,28.258699417114258
2020-01-07,72.14694213867188,30.202468872070312,206.3079833984375,124.135986328125,116.46066284179688,123.72936248779297,150.14572143554688,5.9722442626953125,28.16419792175293
2020-01-08,73.30752563476562,30.5078125,208.29664611816406,124.11888885498047,117.36917877197266,124.8498764038086,152.53729248046875,5.9834442138671875,28.3895206451416
2020-01-09,74.8646469116211,30.560148239135742,212.53688049316406,124.48709869384766,117.79772186279297,126.91343688964844,154.4429473876953,6.049160480499268,28.265960693359375
2020-01-10,75.03385925292969,30.307161331176758,212.1076202392578,124.20452880859375,116.62351989746094,128.85557556152344,153.7283477783203,6.08151912689209,28.702051162719727
2020-01-13,76.63690948486328,30.586320877075195,214.823486328125,124.75247955322266,117.59202575683594,129.7332763671875,155.5767822265625,6.27218770980835,28.643903732299805
2020-01-14,75.60205841064453,30.813154220581055,215.21768188476562,125.45458221435547,118.96334075927734,131.3300018310547,154.48104858398438,6.155198097229004,29.123607635498047
2020-01-15,75.27806091308594,30.24608039855957,214.823486328125,125.87417602539062,117.18061828613281,131.75950622558594,155.48150634765625,6.112633228302002,29.559690475463867
2020-01-16,76.22103881835938,30.28970718383789,218.7745819091797,126.89305877685547,117.63488006591797,132.0583038330078,158.3304443359375,6.1962690353393555,29.51608657836914
2020-01-17,77.06488800048828,30.280982971191406,218.54681396484375,127.72362518310547,118.44908142089844,130.33087158203125,159.2165985107422,6.204982280731201,29.44340705871582
2020-01-21,76.54263305664062,29.888397216796875,215.25271606445312,127.80925750732422,117.28347778320312,131.57278442382812,158.64491271972656,6.171627044677734,29.319849014282227
2020-01-22,76.81583404541016,29.975637435913086,216.43540954589844,126.9358901977539,117.14632415771484,132.17970275878906,157.88262939453125,6.22564172744751,29.210826873779297
2020-01-23,77.18577575683594,29.766263961791992,215.1475830078125,127.17561340332031,117.02635192871094,131.85287475585938,158.85447692871094,6.294093132019043,29.588773727416992
2020-01-24,76.96332550048828,29.260271072387695,211.9411163330078,126.99581909179688,114.12081909179688,129.8546600341797,157.25376892089844,6.234851360321045,28.9419002532959
2020-01-27,74.70021057128906,28.658321380615234,208.62957763671875,127.3639907836914,113.16088104248047,129.1450653076172,154.6239776611328,5.978966236114502,29.18902015686035
2020-01-28,76.81344604492188,28.998558044433594,212.5193634033203,128.00616455078125,115.2178955078125,130.0320587158203,157.65396118164062,6.1723737716674805,27.720849990844727
2020-01-29,78.42131805419922,28.797903060913086,210.36419677734375,128.89666748046875,115.04649353027344,130.6483612060547,160.11224365234375,6.111886978149414,27.313827514648438
2020-01-30,78.30766296386719,29.207937240600586,213.87730407714844,128.74256896972656,116.46923065185547,133.21612548828125,164.6286163330078,6.118606090545654,27.21837615966797
2020-01-31,74.83561706542969,28.640869140625,208.2879180908203,127.46674346923828,113.44371795654297,130.38690185546875,162.1988983154297,5.885123252868652,27.343196868896484
2020-02-03,74.63008117675781,28.763011932373047,209.3917694091797,128.57984924316406,114.30937957763672,131.65682983398438,166.15313720703125,5.982201099395752,27.541440963745117
2020-02-04,77.09390258789062,29.33006477355957,211.95870971679688,129.8042449951172,115.95498657226562,133.93511962890625,171.622314453125,6.151463508605957,27.673608779907227
2020-02-05,77.7225570678711,30.280982971191406,214.0262451171875,131.8506317138672,117.92627716064453,137.5860137939453,171.41275024414062,6.241820335388184,28.02603530883789
2020-02-06,78.63166809082031,30.24608039855957,211.85354614257812,131.45677185058594,117.94341278076172,137.53933715820312,174.9667510986328,6.3286919593811035,28.09212875366211
2020-02-07,77.56288146972656,30.19374656677246,208.50694274902344,130.05259704589844,117.56632995605469,136.70831298828125,175.21446228027344,6.262481212615967,27.937931060791016
2020-02-10,77.93123626708984,30.263530731201172,207.94622802734375,130.02688598632812,118.05485534667969,135.867919921875,179.7975616455078,6.545747756958008,27.761714935302734
2020-02-11,77.46106719970703,30.333328247070312,207.1577911376953,130.13818359375,118.27767944335938,134.69142150878906,175.738525390625,6.668213844299316,27.967308044433594
2020-02-12,79.30059814453125,30.464183807373047,209.07635498046875,129.3675994873047,118.27767944335938,134.00045776367188,175.99581909179688,6.783960819244385,27.7103214263916
2020-02-13,78.73587799072266,30.45545768737793,208.81356811523438,128.5113525390625,118.17485046386719,133.090087890625,175.0429229736328,6.7401509284973145,27.11557960510254
2020-02-14,78.75527954101562,30.403112411499023,207.7009735107422,128.5455780029297,117.81484985351562,132.4518280029297,176.6055908203125,7.2133402824401855,26.80719757080078
2020-02-18,77.31321716308594,29.897125244140625,204.31051635742188,127.69793701171875,116.25494384765625,132.3485565185547,178.39691162109375,7.382104873657227,26.66769790649414
2020-02-19,78.43292236328125,30.28970718383789,207.91995239257812,127.52667236328125,117.8405532836914,132.17965698242188,178.9319610595703,7.833390235900879,26.601612091064453
2020-02-20,77.62828826904297,30.403112411499023,203.88995361328125,127.03862762451172,117.8405532836914,133.2777862548828,176.19943237304688,7.6840410232543945,26.322599411010742
